Activity status | see economic activity status.
செயல்பாட்டு நிலைமை | பொருளாதார செயல்பாட்டு நிலையை பார்க்கவும்.

Agricultural census | collection of structural data from agricultural holdings.
விவசாய மக்கள் தொகை கணக்கெடுப்பு | விவசாய பண்ணைகளிலிருந்து கட்டமைப்பு தரவுகளை சேகரித்தல்.

Agricultural holder | person making the major decisions on the operations of the holding (paragraph
விவசாய வைத்திருப்பவர் | ஹோல்டிங் செயல்பாடுகளில் முக்கிய முடிவுகளை எடுக்கும் நபர் (பகுதி)

Agricultural holding | economic unit of agricultural production – the basic unit of enumeration in the
விவசாய ஹோல்டிங் | விவசாய உற்பத்தியின் பொருளாதார அலகு  வேளாண் உற்பத்தியின் அடிப்படை அலகு 

Agricultural household | a household whose largest source of income consists of income derived from
விவசாய குடும்பம் | ஒரு குடும்பம், அதன் வருமானத்தின் மிகப்பெரிய ஆதாரம், வருமானம் பெறப்பட்ட வருமானம் ஆகும்.

Agricultural land | the total of arable land, permanent crops, and permanent meadows and pastures
விவசாய நிலம் | மொத்த நிலப்பரப்பு, நிலையான பயிர்கள், நிலையான புல்வெளிகள் மற்றும் மேய்ச்சல்கள் ஆகியவற்றின் மொத்த அளவு

Agro-forestry | farm management system involving growing trees in conjunction with crops and livestock
விவசாய வனத்துறை | மரங்களை பயிர் மற்றும் கால்நடைகளுடன் இணைந்து வளர்க்கும் பண்ணை மேலாண்மை அமைப்பு

Aquacultural census | collection of structural data from all aquacultural production units.
மீன்வளப் பயிர் கணக்கெடுப்பு | அனைத்து மீன்வள உற்பத்தி அலகுகளிலிருந்தும் கட்டமைப்பு தரவுகளின் சேகரிப்பு.

Aquacultural holding | an economic unit of aquacultural production under single management
மீன்வள கம்பெனி  | ஒருங்கிணைந்த நிர்வாகத்தின் கீழ் நீர்வள உற்பத்தியின் ஒரு பொருளாதார அலகு

Aquaculture | farming of aquatic organisms including fish, crustaceans, molluscs, and aquatic plants
மீன்வளத்துறை | மீன், எருமை, மல்லி மற்றும் நீர்வாழ் தாவரங்கள் உள்ளிட்ட நீர்வாழ் உயிரினங்களை வளர்ப்பது

Arable land | land used in most years for growing temporary crops (paragraph 11.38).
அரபி நிலம் | பெரும்பாலான ஆண்டுகளில் தற்காலிக பயிர்களை வளர்க்க பயன்படுத்தப்படும் நிலம் (பகுதி 11.38).

Associated crops | temporary crops growing together on the same piece of land with permanent crops
தொடர்புடைய பயிர்கள் | தற்காலிக பயிர்கள் ஒரே நிலத்தில் நிரந்தர பயிர்களுடன் ஒன்றாக வளர்ந்து வருகின்றன.

Census | statistical collection involving the enumeration of all units (large sample-based collections are
மக்கள் தொகை கணக்கெடுப்பு | அனைத்து அலகுகளின் எண்ணிக்கையை உள்ளடக்கிய புள்ளிவிவரக் குவிப்பு (பெரிய மாதிரி அடிப்படையிலான குவிப்புகள்  ஆகும்)

Census core module | the primary agricultural census collection to provide key structural data, carried
மக்கள் தொகை கணக்கெடுப்பு மைய தொகுதி | முக்கிய கட்டமைப்பு தரவுகளை வழங்க, முதன்மை விவசாய மக்கள் தொகை கணக்கெடுப்பு சேகரிப்பு, நடத்தப்பட்டது

Census of agriculture and aquaculture | an agricultural census and an aquacultural census conducted
விவசாயம் மற்றும் மீன்வளத்துறையின் மக்கள் தொகை கணக்கெடுப்பு | ஒரு விவசாய மக்கள் தொகை கணக்கெடுப்பு மற்றும் ஒரு நீர்வளவியல் மக்கள் தொகை கணக்கெடுப்பு நடத்தப்பட்டது

Census supplementary module | a sample-based module undertaken in association with the core
மக்கள் தொகை கணக்கெடுப்பு கூடுதல் தொகுதி | ஒரு மாதிரி அடிப்படையிலான தொகுதி, மையத்துடன் இணைந்து மேற்கொள்ளப்படுகிறது.

Classification | collection or presentation of data in classes in a structured format, such as occupation
Classification | வகுப்புகளில் தரவுகளை சேகரித்தல் அல்லது தொகுத்தல் போன்ற கட்டமைக்கப்பட்ட வடிவத்தில் தரவுகளை தொகுத்தல் அல்லது வழங்குதல்.

Co-holder | person jointly making the major decisions on the operations of the holding with another
